RB	En
1.en	In the fifth season the program was implemented in accordance with a new concept: one young footballer from each country was chosen to represent it.
2.en	Croup affects about 15% of children, and usually presents between the ages of 6 months and 5–6 years.
3.en	Famous footballers, including Serbian defender Branislav Ivanovich, and Dutch striker Dirk Kuyt, took part in events around the world.
4.en	More than 7,000 people visited the film's premiere in Damascus.
5.en	The culmination was the ceremony of awarding the Nine Values Cup, which was won by Barcelona football club.
6.en	In June 2014, as leader of the movement, he visited the ninth international youth football tournament in memory of Yuri Andreyevich Morozov.
7.en	The Day of Football and Friendship was celebrated in Nizhny Novgorod and Kazan.
8.en	The result of the second season of the program was the election of a leader of the Football for Friendship movement.
9.en	He then began studies of chemistry with Adolf von Baeyer and of botany with Carl Nägeli, at the Botanic Institute in Munich.
10.en	The Cup was won by Bayern football club.
11.en	Russia was represented by 11 football teams from 11 Russian cities that will host the FIFA World Cup matches in 2018.
12.en	In 1914 the First World War broke out.
13.en	The majority of the population are Catholic.
14.en	The members of each political group meet before major meetings to adopt common positions.
15.en	They are public bodies that have been given the responsibility to deal with certain elements of application of internal market legislation.
16.en	The European Union, therefore, should not take on tasks which are better suited to national, regional or local administrations.
17.en	Only the competent authorities that are directly involved in an information exchange have access to the content.
18.en	The Secretary-General is appointed for five years by the Bureau.
19.en	On this day, friendly matches, flash mobs, radio marathons, master classes, television shows, open training sessions, etc. took place.
20.en	In Greece, the event was attended by Theodoras Zagorakis, a winner of the European Football Championship 2004 with his country's national team.
21.en	The goal of the programme is to cultivate in the younger generation important values and interest in a healthy lifestyle through football.
22.en	Young participants from the Asian continent – children's football teams from Japan, China and Kazakhstan – participated in the programme for the first time.
23.en	Young journalists from the press center present their view from within the Programme, implementing the format "children about children".
24.en	After the war, the town was rebuilt.
25.en	There are 357 days remaining until the end of the year (358 in leap years).
26.en	In training, Zenit FC goalkeeper Yury Lodygin gave a high rating to Zakhar's abilities and shared the secrets of goalkeeping with him.
27.en	The Programme participants include young footballers and journalists representing 211 countries and regions of the world.
28.en	All the activities of the Football for Friendship Programme begin with the exchange of Friendship Bracelets, a symbol of equality and a healthy lifestyle.
29.en	Later the letter was sent to the heads of the UEFA, FIFA and IOC.
30.en	The winner of the International Street Football Tournament in 2014 was the Benfica junior team.
31.en	In early 2005, Columbia Records' new president, Steve Greenberg, listened to Nick's record.
32.en	The currency is the Australian dollar.
33.en	For the first time, the Football for Friendship Programme was attended by children from Mexico and the United States.
34.en	In total, junior teams from 24 football clubs from 24 countries took part in the third season.
35.en	January 17 is the 17th day of the year in the Gregorian calendar.
36.en	This holiday was celebrated for the first time in 2014 in 16 countries.
37.en	The film was nominated for three Oscars.
38.en	This experience had a strong influence on his later work.
39.en	Developmental biology studies the process by which organisms grow and develop.
40.en	Venus Express was the first Venus exploration mission of the European Space Agency (ESA).
41.en	In 1923, together with his assistant Erich Hückel, he developed an improvement of Svante Arrhenius' theory of electrical conductivity in electrolyte solutions.
42.en	In America and in our country there are nuclear weapons — terrible weapons that can kill millions of people in an instant.
43.en	For instance, the newton is defined as the force necessary to accelerate one kilogram at one metre per second squared.
44.en	The film is based on a true story.
45.en	In the early years, more than one medal was often awarded in a year, but by 1833 only one medal was being awarded per year.
46.en	Antibiotics have no effect against viral infections or against the viruses that cause the common cold.
47.en	Frans Sammut's famous last words were: “My wife and I should be going to Jerusalem, but it seems plans have changed."
48.en	Life span is up to 6 years.
49.en	He was finally dismissed from government service.
50.en	After 8–12 weeks, individuals enter the chronic phase of disease and in 60–70% it never produces further symptoms.
51.en	A few years later (1906) he published his Słownik chemiczny, the first Polish chemical dictionary.
52.en	In general we propose to discontinue further production of them and to proceed to the abolition of all the stockpiles on Earth.
53.en	Soviet people well know what a terrible thing war is.
54.en	Agricultural production is limited, only 2% of the land is arable, and most food has to be imported.
55.en	The first, wooden, triumphal arch was built hurriedly, after Romania gained its independence (1878), so that the victorious troops could march under it.
56.en	The details of this process depend on the amount and type of matter in the universe.
57.en	I will reply to you seriously and honestly.
58.en	This book is well known and loved in our country by all boys and girls.
59.en	If you aren't please tell me how you are going to help to not have a war.
60.en	It was their largest ship at the time.
61.en	The 1916 Olympics were awarded to Berlin, but canceled due to the First World War.
62.en	Members meet in their national delegations before plenary sessions and other events to discuss common positions.
63.en	Users can suggest data they think is missing on the portal and give feedback on the quality of data obtainable.
64.en	He is responsible for implementing President's and Bureau decisions and the smooth running of the CoR administration.
65.en	Over this period, it invested around €75 billion – close to 10% of the EU budget – on employment-enhancing projects.
